,Customer ID,Age,Gender,Loyalty Member,Product Type,SKU,Rating,Order Status,Payment Method,Total Price,Unit Price,Quantity,Purchase Date,Shipping Type,Add-ons Purchased,Add-on Total,City,Province
0,1000,53,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,5538.33,791.19,7,2024-03-20,Standard,"Accessory,Accessory,Accessory",40.21,Saskatoon,Saskatchewan
1,1000,53,Male,No,Tablet,SKU1002,3,Completed,Paypal,741.09,247.03,3,2024-04-20,Overnight,Impulse Item,26.09,Saskatoon,Saskatchewan
2,1002,41,Male,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,2023-10-17,Express,,0.0,Regina,Saskatchewan
3,1002,41,Male,Yes,Smartphone,SKU1004,2,Completed,Cash,3164.76,791.19,4,2024-08-09,Overnight,"Impulse Item,Impulse Item",60.16,Regina,Saskatchewan
4,1003,75,Male,Yes,Smartphone,SKU1001,5,Completed,Cash,41.5,20.75,2,2024-05-21,Express,Accessory,35.56,Edmonton,Alberta
5,1004,41,Female,No,Smartphone,SKU1001,5,Completed,Credit Card,83.0,20.75,4,2024-05-26,Standard,"Impulse Item,Accessory",65.78,Calgary,Alberta
6,1005,25,Female,No,Smartwatch,SKU1003,3,Completed,Paypal,7603.47,844.83,9,2024-01-30,Overnight,,0.0,Halifax,Nova Scotia
7,1005,25,Female,No,Laptop,SKU1005,3,Completed,Debit Card,4175.64,463.96,9,2024-06-24,Overnight,"Extended Warranty,Extended Warranty",75.33,Halifax,Nova Scotia
8,1006,24,Male,No,Smartphone,SKU1004,2,Cancelled,Debit Card,5538.33,791.19,7,2023-10-03,Standard,Impulse Item,43.05,Halifax,Nova Scotia
9,1006,24,Male,Yes,Laptop,SKU1005,3,Completed,Cash,4175.64,463.96,9,2024-01-01,Express,,0.0,Halifax,Nova Scotia
10,1006,24,Male,Yes,Tablet,SKU1002,3,Completed,Paypal,2470.3,247.03,10,2024-06-25,Overnight,"Impulse Item,Accessory,Impulse Item",90.38,Halifax,Nova Scotia
11,1007,35,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,7120.71,791.19,9,2023-11-07,Overnight,"Accessory,Extended Warranty",55.48,Halifax,Nova Scotia
12,1008,66,Female,No,Smartwatch,SKU1003,3,Completed,Cash,3379.32,844.83,4,2023-09-25,Express,"Extended Warranty,Impulse Item,Extended Warranty",65.85,Calgary,Alberta
13,1011,72,Male,No,Smartphone,SKU1004,2,Completed,Credit Card,7911.9,791.19,10,2024-07-07,Standard,"Accessory,Accessory,Accessory",70.17,Regina,Saskatchewan
14,1013,42,Female,No,Smartphone,SKU1004,2,Cancelled,Paypal,5538.33,791.19,7,2024-03-18,Overnight,"Accessory,Impulse Item,Accessory",57.81,Edmonton,Alberta
15,1014,73,Female,No,Smartwatch,SKU1003,3,Cancelled,Credit Card,5068.98,844.83,6,2024-01-02,Standard,"Extended Warranty,Extended Warranty",69.31,Edmonton,Alberta
16,1014,73,Female,Yes,Smartphone,SKU1004,2,Completed,Cash,4747.14,791.19,6,2024-05-18,Standard,Accessory,8.3,Edmonton,Alberta
17,1015,22,Male,No,Smartphone,SKU1001,5,Completed,Paypal,83.0,20.75,4,2024-09-02,Standard,"Accessory,Accessory,Accessory",80.0,Montreal,Quebec
18,1016,61,Male,Yes,Smartphone,SKU1001,5,Completed,Paypal,103.75,20.75,5,2024-07-07,Overnight,,0.0,Saskatoon,Saskatchewan
19,1018,34,Male,No,Smartphone,SKU1001,5,Completed,Paypal,124.5,20.75,6,2024-07-23,Express,"Impulse Item,Extended Warranty",70.39,Edmonton,Alberta
20,1019,45,Male,No,Smartphone,SKU1001,5,Cancelled,Cash,83.0,20.75,4,2024-03-14,Express,,0.0,Saskatoon,Saskatchewan
21,1019,45,Male,No,Tablet,SKU1002,3,Completed,Cash,988.12,247.03,4,2024-04-20,Express,"Impulse Item,Impulse Item",37.87,Saskatoon,Saskatchewan
22,1019,45,Male,Yes,Smartwatch,SKU1003,3,Cancelled,Paypal,844.83,844.83,1,2024-07-21,Express,Accessory,49.17,Saskatoon,Saskatchewan
23,1020,57,Female,No,Smartwatch,SKU1003,3,Cancelled,Debit Card,3379.32,844.83,4,2023-12-02,Express,"Impulse Item,Accessory,Extended Warranty",37.13,Calgary,Alberta
24,1021,71,Female,Yes,Smartwatch,SKU1003,3,Completed,Cash,844.83,844.83,1,2024-03-20,Overnight,"Accessory,Extended Warranty",49.54,Ottawa,Ontario
25,1022,76,Female,No,Smartwatch,SKU1003,3,Cancelled,Paypal,6758.64,844.83,8,2024-04-27,Overnight,"Impulse Item,Accessory,Impulse Item",73.49,Regina,Saskatchewan
26,1024,49,Female,No,Smartphone,SKU1004,2,Completed,Cash,1582.38,791.19,2,2024-07-10,Overnight,"Extended Warranty,Impulse Item",51.93,Montreal,Quebec
27,1025,77,Male,No,Laptop,SKU1005,3,Completed,Debit Card,2783.76,463.96,6,2024-01-29,Overnight,,0.0,Ottawa,Ontario
28,1025,77,Male,No,Smartphone,SKU1001,5,Completed,Cash,83.0,20.75,4,2024-08-28,Express,"Extended Warranty,Extended Warranty",77.78,Ottawa,Ontario
29,1027,22,Male,No,Smartphone,SKU1004,2,Completed,Paypal,4747.14,791.19,6,2023-11-28,Overnight,,0.0,Edmonton,Alberta
30,1028,79,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,6758.64,844.83,8,2023-11-30,Overnight,,0.0,Vancouver,British Columbia
31,1030,69,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,4224.15,844.83,5,2024-02-27,Express,"Accessory,Impulse Item,Accessory",46.03,Calgary,Alberta
32,1031,20,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,5913.81,844.83,7,2024-01-21,Express,,0.0,Winnipeg,Manitoba
33,1031,20,Female,No,Smartphone,SKU1001,5,Completed,Debit Card,103.75,20.75,5,2024-09-03,Overnight,"Accessory,Accessory",17.79,Winnipeg,Manitoba
34,1033,54,Female,No,Tablet,SKU1002,3,Completed,Debit Card,988.12,247.03,4,2023-11-30,Overnight,,0.0,Toronto,Ontario
35,1033,54,Female,No,Smartphone,SKU1004,2,Completed,Debit Card,3164.76,791.19,4,2024-01-12,Standard,"Accessory,Accessory",49.24,Toronto,Ontario
